1
1  40
 0.0000e+00	 5.3800e+00	 1.0000e+02	 1.0000e+00	;
 2.0396e+00	 5.3962e+00	 9.9700e+01	 1.0000e+00	;
 4.8052e+00	 5.4626e+00	 9.7337e+01	 1.0000e+00	;
 5.5028e+00	 5.4860e+00	 9.5299e+01	 1.0000e+00	;
 6.4440e+00	 5.5210e+00	 9.2232e+01	 1.0000e+00	;
 7.6229e+00	 5.5696e+00	 8.8119e+01	 1.0000e+00	;
 9.0333e+00	 5.6334e+00	 8.2881e+01	 1.0000e+00	;
 1.0665e+01	 5.7123e+00	 7.6514e+01	 1.0000e+00	;
 1.2511e+01	 5.8049e+00	 6.9146e+01	 1.0000e+00	;
 1.4557e+01	 5.9066e+00	 6.1206e+01	 1.0000e+00	;
 1.6793e+01	 6.0100e+00	 5.3544e+01	 1.0000e+00	;
 1.9206e+01	 6.1042e+00	 4.7066e+01	 1.0000e+00	;
 2.1779e+01	 6.1744e+00	 4.1947e+01	 1.0000e+00	;
 2.4498e+01	 6.2020e+00	 3.8039e+01	 1.0000e+00	;
 2.7348e+01	 6.1652e+00	 3.4995e+01	 1.0000e+00	;
 3.0309e+01	 6.0392e+00	 3.2747e+01	 1.0000e+00	;
 3.3366e+01	 5.7970e+00	 3.1339e+01	 1.0000e+00	;
 3.6499e+01	 5.4261e+00	 3.0761e+01	 1.0000e+00	;
 3.9690e+01	 5.0566e+00	 3.0287e+01	 1.0000e+00	;
 4.2919e+01	 4.7218e+00	 2.9755e+01	 1.0000e+00	;
 4.6168e+01	 4.4162e+00	 2.9210e+01	 1.0000e+00	;
 4.9416e+01	 4.1391e+00	 2.8670e+01	 1.0000e+00	;
 5.2644e+01	 3.8893e+00	 2.8145e+01	 1.0000e+00	;
 5.5833e+01	 3.6652e+00	 2.7647e+01	 1.0000e+00	;
 5.8964e+01	 3.4641e+00	 2.7179e+01	 1.0000e+00	;
 6.2018e+01	 3.2829e+00	 2.6744e+01	 1.0000e+00	;
 6.4977e+01	 3.1165e+00	 2.6311e+01	 1.0000e+00	;
 6.7822e+01	 2.9606e+00	 2.5867e+01	 1.0000e+00	;
 7.0537e+01	 2.8122e+00	 2.5458e+01	 1.0000e+00	;
 7.3106e+01	 2.6664e+00	 2.5140e+01	 1.0000e+00	;
 7.5512e+01	 2.5176e+00	 2.4986e+01	 1.0000e+00	;
 7.7742e+01	 2.3693e+00	 2.4986e+01	 1.0000e+00	;
 7.9782e+01	 2.2289e+00	 2.4986e+01	 1.0000e+00	;
 8.1621e+01	 2.0828e+00	 2.4986e+01	 1.0000e+00	;
 8.3246e+01	 1.9267e+00	 2.4986e+01	 1.0000e+00	;
 8.4648e+01	 1.7620e+00	 2.4986e+01	 1.0000e+00	;
 8.5820e+01	 1.5751e+00	 2.4986e+01	 1.0000e+00	;
 8.6753e+01	 1.3631e+00	 2.4986e+01	 1.0000e+00	;
 8.7443e+01	 1.1198e+00	 2.4986e+01	 1.0000e+00	;
 8.7579e+01	 8.1990e-01	 2.4986e+01	 1.0000e+00	;
